spotify:track:0mD5cqe5rW4rPjlEBpRqUK,,,"My Solace My Home","Ryley Moss","My Solace My Home",
spotify:track:4pAGwabwsTepSu5mAD9lv4,,,"Le vol de l’oiseau","Oscar Kowalski","Réminiscence",
spotify:track:5hiuOPmW0LBilvTFParX3V,,,"Murasaki No Yume","Yasuo Zen","Murasaki No Yume",
spotify:track:7Bu7bhBR0ZzJYV6rXy2WBE,,,Hiraeth,"Friedrich Hahn",Hiraeth,
spotify:track:79XrQYbxrhehKlaT70VfxN,,,"Bird of Passage",Carmelito,"Bird of Passage",
spotify:track:3C9XQnp8aNwSoyPhf1by3z,,,Affection,"Robert Gafforelli",Affection,
spotify:track:7LrSlEs718sY5CbZ3z4Ra9,,,Whirlwind,"Edgar De Vries",Whirlwind,
spotify:track:5FeKYp26uQ93jj361VH7mr,,,"Minute By Minute","Signe Bratlie","Final Feliz",
spotify:track:1LM6EReMkAxuDXDF26ekl2,,,"Get By","Talib Kweli",Quality,
spotify:track:5KZwRD3KklSP73jnLoNWtF,,,"Mystery of Iniquity - Live","Ms. Lauryn Hill","MTV Unplugged No. 2.0",
spotify:track:4xm2HjtDAdCobewPoaImT7,,,Revolution,"Kirk Franklin & The Family","The Nu Nation Project",
spotify:track:3TE9GbcsnQrxUrqpdpb8I0,,,"Fuck Tha Police",N.W.A.,"Straight Outta Compton",
spotify:track:5YD86vWLu1YqR818b1GADO,,,"Bridge over Troubled Water","Aretha Franklin","The Very Best of Aretha Franklin - The 70's",
spotify:track:6AeG6jSoAVbmUFO6LyYmBf,,,"People Get Ready","The Impressions","People Get Ready",
spotify:track:2Jt2l7AeccWQFUY6QCq67J,,,"I'm Black And I'm Proud","Brand Nubian",Foundation,
spotify:track:47mA6f44zxLtdATOoY7GjN,,,"Georgia on My Mind - Original Master Recording","Ray Charles","Georgia on My Mind",
spotify:track:6lI0dzCFeR86ijHg3SGSNP,,,"2000 Blacks Got to Be Free - Edit","Fela Kuti","2000 Blacks Got To Be Free (feat. Roy Ayers)",
spotify:track:3qvuhGBr6BSdGPQsdf2gLr,,,"Living For The City","Stevie Wonder",Innervisions,
spotify:track:0XRbYXQUymj9SJkrr8YK5B,,,"Keep Ya Head Up",2Pac,"Strictly 4 My N.I.G.G.A.Z...",
spotify:track:4Ymk3pqpkGx19gyxxUj5LK,,,"Ain't No Stoppin' Us Now","McFadden & Whitehead","McFadden & Whitehead",
spotify:track:5PQmSHzWnlgG4EBuIqjac2,,,"If I Ruled the World (Imagine That) (feat. Lauryn Hill)",Nas,"It Was Written",
spotify:track:5XVPNr0CAoUn1jD033Ucoo,,,Donuts,Gzuz,Gzuz,
spotify:track:2QVOaCOsGYQocs5y0QjTV6,,,SEPTEMBER,Shindy,"In meiner Blüte",
spotify:track:3ilgxZl5g7MOQCUiky3VOG,,,"Ms. Jackson",Pashanim,"Ms. Jackson",
spotify:track:6fuO9uk9wbjCHvQJqk2Qpx,,,"paris freestyle - skrilla remix",Pashanim,"paris freestyle",
spotify:track:2WOJ7D52Ng3myrKlEf4Azj,,,"Big Body Benz","Bonez MC","Big Body Benz",
spotify:track:4TVWrmLEcYcbFLvPGOSWuZ,,,Prollz,Gzuz,"Ebbe & Flut",
spotify:track:4i2DmyVwf29lEdmLGNTyGM,,,"One Night Stand","Capital Bra","Berlin lebt",
spotify:track:525yPO8r5J6kLostDxm3XK,,,"Back That Azz Up",JUVENILE,"Greatest Hits",
spotify:track:2qcllSUyD3gKbfh9NEjARW,,,"My Block - Nitty Remix",2Pac,"Better Dayz",
spotify:track:24vNw0Z0srb4zYXwrakw8E,,,"Wu-Tang Clan Ain't Nuthing ta F' Wit","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",
spotify:track:4INDiWSKvqSKDEu7mh8HFz,,,"Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","The Notorious B.I.G.","Life After Death",
spotify:track:3GKL13lkM5nRc4zC1lIOrR,,,"Still Not a Player (feat. Joe) - Radio Version","Big Pun","Capital Punishment",
spotify:track:7sO5G9EABYOXQKNPNiE9NR,,,"Ric Flair Drip (with Metro Boomin)",Offset,"Without Warning",
spotify:track:4vVjPTApwXZwB2H3mBq3ml,,,"HOTEL LOBBY (Unc & Phew)",Quavo,"Only Built For Infinity Links",
spotify:track:7EgThh6AbBM6nWs4XOPx2T,,,Impala,"Young Nudy","EA Monster",
spotify:track:6DLSBLkABrsLokGPVTk7me,,,Karma,Samra,Karma,
spotify:track:6dVZCbi9CYtD9LjAHXRjIG,,,"Mask Off (feat. Kendrick Lamar) - Remix",Future,FUTURE,
spotify:track:7jQcjzl8yPQsmxpO5orx4Y,,,"187 Allstars ‘22",Sa4,"187 Allstars ‘22",
spotify:track:3OUhULchdBmHFdbJmheYrU,,,KMKD,"Kool Savas",Moai,
spotify:track:5kyiTQjYaQVDhapExFQdwA,,,"Demon Time","Trippie Redd","Trip At Knight",
spotify:track:7EcS0PpanwW4wOmYhT4EJQ,,,"Flouz kommt Flouz geht",Nimo,Habeebeee,
spotify:track:1xzBco0xcoJEDXktl7Jxrr,,,"Mo Bamba","Sheck Wes",MUDBOY,
spotify:track:2Gk6fi0dqt91NKvlzGsmm7,,,"SAY MY GRACE (feat. Travis Scott)",Offset,"SET IT OFF",
spotify:track:4muwDurKeVOB1WBjTVRWlD,,,"War Bout It (feat. 21 Savage)","Lil Durk","Almost Healed",
spotify:track:57BGVV6wcyhbn3hsjlqEZB,,,Element,"Pop Smoke","Meet The Woo 2",
spotify:track:7brxuyNOpM2kQFQIdhZUJn,,,"Robbery Part Two","Tee Grizzley","Robbery Part Two",
spotify:track:7LSn5it9bQhJqyfEq1PM3l,,,"Wolf Totem","The HU","The Gereg",
spotify:track:0VOMBffX1llDu37yQUt3u3,,,"Pop Out (feat. Nardo Wick)","Lil Baby","It's Only Me",
spotify:track:33ZXjLCpiINn8eQIDYEPTD,,,"Shook Ones, Pt. II","Mobb Deep","The Infamous",
